ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
164,UConn,13255,Maggie Carley,Freshman,"Trumbull,CT",,,,S/DS,2,https://www.uconnhuskies.com/sports/womens-volleyball/roster/maggie-carley/13255,2023
164,UConn,13250,Jess Perry,Sophomore,"Nashville, Tenn.",Independence,,"6'2""",RS,3,https://www.uconnhuskies.com/sports/womens-volleyball/roster/jess-perry/13250,2023
164,UConn,13253,Brenna Wyman,Sophomore,"Louisville, Ky.",Assumption,,"5'9""",DS/L,4,https://www.uconnhuskies.com/sports/womens-volleyball/roster/brenna-wyman/13253,2023
164,UConn,13256,Ayva Cebollero,Sophomore,"Nocatee,FL",,,"5'10""",S,5,https://www.uconnhuskies.com/sports/womens-volleyball/roster/ayva-cebollero/13256,2023
164,UConn,13257,Cera Powell,Graduate Student,"Pittsboro, NC",,,"6'0""",OH,6,https://www.uconnhuskies.com/sports/womens-volleyball/roster/cera-powell/13257,2023
164,UConn,13246,Eli Adams,Sophomore,"Clarkston, Mich.",Clarkston,,"6'2""",RS/M,7,https://www.uconnhuskies.com/sports/womens-volleyball/roster/eli-adams/13246,2023
164,UConn,13247,Karly Berkland,Senior,"Williamsburg, Iowa",Williamsburg HS,,"5'4""",DS/L,8,https://www.uconnhuskies.com/sports/womens-volleyball/roster/karly-berkland/13247,2023
164,UConn,13258,Mya Ayro,Freshman,"Greenwood, IN",,,"5'11""",OH,9,https://www.uconnhuskies.com/sports/womens-volleyball/roster/mya-ayro/13258,2023
164,UConn,13248,Carly Furlong,Redshirt Sophomore,"Louisville, Ky.",Sacred Heart Academy,,"6'3""",MB,10,https://www.uconnhuskies.com/sports/womens-volleyball/roster/carly-furlong/13248,2023
164,UConn,13259,Doga Kutlu,Junior,"Ankara, Turkey",,,"5'10""",S,11,https://www.uconnhuskies.com/sports/womens-volleyball/roster/doga-kutlu/13259,2023
164,UConn,13252,Emma Werkmeister,Sophomore,"Victor, N.Y.",Victor,,"5'11""",OH,12,https://www.uconnhuskies.com/sports/womens-volleyball/roster/emma-werkmeister/13252,2023
164,UConn,13249,Taylor Pannell,Redshirt Junior,"Middletown, N.Y.",Pine Bush,,"6'1""",MB,13,https://www.uconnhuskies.com/sports/womens-volleyball/roster/taylor-pannell/13249,2023
164,UConn,13260,Grace Maria,Freshman,"Arlington, VA",,,"6'2""",OH,15,https://www.uconnhuskies.com/sports/womens-volleyball/roster/grace-maria/13260,2023
164,UConn,13251,Audrey Rome,Redshirt Freshman,"Sandwich, Ill.",Sandwich,,"6'3""",MB,16,https://www.uconnhuskies.com/sports/womens-volleyball/roster/audrey-rome/13251,2023
418,Michigan,,Serena Nyambio,"So.","Troy, Mich.","Detroit Country Day School",,"6' 2''","MB",1,https://mgoblue.com/sports/womens-volleyball/roster/serena-nyambio/24177,2023
418,Michigan,,Allison Jacobs,"Sr.","Stevenson Ranch, Calif.","West Ranch",,"5' 11''","OH",2,https://mgoblue.com/sports/womens-volleyball/roster/allison-jacobs/24172,2023
418,Michigan,,Brooke Humphrey,"Sr.","Lafayette, Ind.","McCutcheon",,"5' 10''","DS/L",3,https://mgoblue.com/sports/womens-volleyball/roster/brooke-humphrey/24171,2023
418,Michigan,,Scottee Johnson,"Sr.","Dayton, Ohio","Centerville",,"6' 0''","S",4,https://mgoblue.com/sports/womens-volleyball/roster/scottee-johnson/24173,2023
418,Michigan,,Lydia Johnson,"Fr.","Edmonton, Canada","Ross Sheppard",,"6' 3''","OPP",5,https://mgoblue.com/sports/womens-volleyball/roster/lydia-johnson/24561,2023
418,Michigan,,Saj McBurrows,"Gr.","Phoenix, Ariz.","Pinnacle",,"6' 1''","OPP",6,https://mgoblue.com/sports/womens-volleyball/roster/saj-mcburrows/24557,2023
418,Michigan,,Morgan Burke,"Fr.","Omaha, Neb.","Skutt Catholic",,"6' 0''","S",7,https://mgoblue.com/sports/womens-volleyball/roster/morgan-burke/24559,2023
418,Michigan,,Mira Chopra,"Jr.","Champaign, Ill.","Champaign Central",,"6' 3''","MB/OPP",8,https://mgoblue.com/sports/womens-volleyball/roster/mira-chopra/24166,2023
418,Michigan,,Hannah Grant,"R-Sr.","Northville, Mich.","Northville",,"5' 8''","L/DS",9,https://mgoblue.com/sports/womens-volleyball/roster/hannah-grant/24169,2023
418,Michigan,,Carly Greskovics,"Fr.","Manhattan Beach, Calif.","Mira Costa",,"5' 6''","DS/L",10,https://mgoblue.com/sports/womens-volleyball/roster/carly-greskovics/24560,2023
418,Michigan,,Amalia Simmons,"R-Fr.","Pittsburgh, Pa.","Moon Area",,"5' 11''","OH/OPP",11,https://mgoblue.com/sports/womens-volleyball/roster/amalia-simmons/24180,2023
418,Michigan,,Valentina Vaulet,"Fr.","Córdoba, Argentina","EEM N3 de 10",,"6' 1''","OPP/OH",13,https://mgoblue.com/sports/womens-volleyball/roster/valentina-vaulet/24558,2023
418,Michigan,,Jacque Boney,"Jr.","Brookhaven, Ga.","St. Francis",,"6' 4''","MB",17,https://mgoblue.com/sports/womens-volleyball/roster/jacque-boney/24165,2023
418,Michigan,,Maddi Cuchran,"Jr.","Downers Grove, Ill.","Downers Grove North",,"5' 5''","DS/L",19,https://mgoblue.com/sports/womens-volleyball/roster/maddi-cuchran/24167,2023
418,Michigan,,Kendall Murray,"Sr.","Ann Arbor, Mich.","Skyline",,"6' 2''","OPP/OH",27,https://mgoblue.com/sports/womens-volleyball/roster/kendall-murray/24176,2023
367,Louisville,,Ceci Rush,"Sr.","New Albany, IN","Providence",,"5' 9''","L/DS",1,https://gocards.com/sports/womens-volleyball/roster/ceci%20-rush/13823,2023
367,Louisville,,Ayden Bartlett,"Sr.","Leavenworth, KS","Leavenworth",,"5' 7''","L/DS",2,https://gocards.com/sports/womens-volleyball/roster/ayden-bartlett/13816,2023
367,Louisville,,Kamden Schrand,"Fr.","Villa Hills, Ky.","Notre Dame Academy",,"5' 7''","L/DS",3,https://gocards.com/sports/womens-volleyball/roster/kamden%20-schrand/13846,2023
367,Louisville,,Charitie Luper,"Jr.","Dallas, Texas","Rouse",,"5' 9''","OH",4,https://gocards.com/sports/womens-volleyball/roster/charitie-luper/13847,2023
367,Louisville,,Elle Glock,"R-So.","Wahoo, Nebraska","Wahoo High School",,"6' 0''","S",5,https://gocards.com/sports/womens-volleyball/roster/elle-glock/13039,2023
367,Louisville,,Alexis Finnvold,"So.","Boca Raton, Fla.","Boca Raton Community High School",,"5' 11''","S",7,https://gocards.com/sports/womens-volleyball/roster/alexis-finnvold/13819,2023
