hometown,country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Canby, OR",USA,45.468987,-122.708436,0.8,street_center,,"SW Canby Ct",,,Portland,OR,"Multnomah County",97219,US,"TIGER/Line® dataset from the US Census Bureau"
"Indianapolis, IN",USA,39.804803,-86.168093,1,street_center,,"Indianapolis Ave",,,Indianapolis,IN,"Marion County",46208,US,"TIGER/Line® dataset from the US Census Bureau"
"Ankeny, IA",USA,41.699545,-93.609224,0.9,street_center,,"SW Ankeny Rd",,,Ankeny,IA,"Polk County",50023,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Myers, FL",USA,26.621074,-81.878139,1,place,,,,,"Fort Myers",FL,"Lee County",33901,US,"TIGER/Line® dataset from the US Census Bureau"
"Playa Del Rey, CA",USA,33.991478,-118.390214,0.9,street_center,,"Playa Ct",,,"Culver City",CA,"Los Angeles County",90230,US,"TIGER/Line® dataset from the US Census Bureau"
"Stanfield, N.C.",USA,35.23348,-80.42701,0.5,place,,,,,Stanfield,NC,"Stanly County",28163,US,"TIGER/Line® dataset from the US Census Bureau"
"Commerce Township, MI",USA,42.59653,-83.540905,0.9,street_center,,"E Commerce Rd",,,"Commerce Township",MI,"Oakland County",48382,US,"TIGER/Line® dataset from the US Census Bureau"
"Montclair, CA",USA,34.07751,-117.68978,0.5,place,,,,,Montclair,CA,"San Bernardino County",91763,US,"TIGER/Line® dataset from the US Census Bureau"
"Vista, CA",USA,32.630106,-117.020464,0.86,street_center,,"Vista Oak Pl",,,"Chula Vista",CA,"San Diego County",91910,US,"TIGER/Line® dataset from the US Census Bureau"
"Middleton, WI",USA,43.08626,-89.507009,0.9,street_center,,"Middleton St",,,Madison,WI,"Dane County",53717,US,"TIGER/Line® dataset from the US Census Bureau"
"Round Rock, TX",USA,30.512824,-97.701617,1,street_center,,"Round Rock Ave",,,"Round Rock",TX,"Williamson County",78681,US,"TIGER/Line® dataset from the US Census Bureau"
"Highlands Ranch, CO",USA,27.49901,-81.478881,0.3,street_center,,"Highlands Rd",,,Sebring,FL,"Highlands County",33870,US,"TIGER/Line® dataset from the US Census Bureau"
"Portland, TX",USA,27.890649,-97.321504,1,street_center,,"Portland Dr",,,Portland,TX,"San Patricio County",78374,US,"TIGER/Line® dataset from the US Census Bureau"
"Hope Mills, NC",USA,35.018442,-78.963376,0.9,street_center,,"Hope Mills Rd",,,Fayetteville,NC,"Cumberland County",28304,US,"TIGER/Line® dataset from the US Census Bureau"
"Rocklin, CA",USA,38.788355,-121.227671,1,street_center,,"Rocklin Rd",,,Rocklin,CA,"Placer County",95677,US,"TIGER/Line® dataset from the US Census Bureau"
"Monroe, MI",USA,41.9118,-83.401454,0.9,street_center,,"S Monroe St",,,Monroe,MI,"Monroe County",48161,US,"TIGER/Line® dataset from the US Census Bureau"
"Downingtown, PA",USA,39.962956,-75.623979,0.86,street_center,,"Downingtown Pike",,,"West Chester",PA,"Chester County",19380,US,"TIGER/Line® dataset from the US Census Bureau"
"Boston, NY",USA,42.601664,-78.788884,0.9,street_center,,"Boston Rd",,,Eden,NY,"Erie County",14057,US,"TIGER/Line® dataset from the US Census Bureau"
"Allendale, NJ",USA,41.031556,-74.0977,0.8,street_center,,"E Allendale Rd",,,"Saddle River",NJ,"Bergen County",07458,US,"TIGER/Line® dataset from the US Census Bureau"
"Brooklyn, NY",USA,40.63776,-73.943928,1,street_center,,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
"Heath, Texas",USA,30.086834,-95.990493,0.55,place,,,,,Howth,TX,"Waller County",77446,US,"TIGER/Line® dataset from the US Census Bureau"
"Chapel Hill, N.C.",USA,36.004647,-79.054475,0.5,place,,,,,"Chapel Hill",NC,"Orange County",27514,US,"TIGER/Line® dataset from the US Census Bureau"
"Apex, N.C.",USA,35.712397,-78.915514,1,place,,,,,Apex,NC,"Wake County",27502,US,"TIGER/Line® dataset from the US Census Bureau"
"Parsippany, N.J.",USA,40.838196,-74.421535,0.9,street_center,,"Parsippany Rd",,,Whippany,NJ,"Morris County",07981,US,"TIGER/Line® dataset from the US Census Bureau"
"McKinney, Texas",USA,33.195622,-96.618766,1,street_center,,"McKinney St",,,McKinney,TX,"Collin County",75069,US,"TIGER/Line® dataset from the US Census Bureau"
"Martinsburg, W.Va.",USA,36.681298,-79.86626,0.75,place,,,,,Martinsville,VA,"Martinsville City",24112,US,"TIGER/Line® dataset from the US Census Bureau"
"Stuart, FL.",USA,27.211147,-80.261609,0.9,street_center,,"NW Stuart Ave",,,Stuart,FL,"Martin County",34994,US,"TIGER/Line® dataset from the US Census Bureau"
"Denver, N.C.",USA,35.523588,-81.017644,1,street_center,,"Denver Dr",,,Denver,NC,"Lincoln County",28037,US,"TIGER/Line® dataset from the US Census Bureau"
"Orchard Park, N.Y.",USA,42.818111,-78.769002,0.9,street_center,,"Orchard Park Rd",,,Buffalo,NY,"Erie County",14224,US,"TIGER/Line® dataset from the US Census Bureau"
"Honolulu, HI",USA,21.344691,-157.720611,0.9,street_center,,"Hanalulu Pl",,,Waimanalo,HI,"Honolulu County",96795,US,"TIGER/Line® dataset from the US Census Bureau"
"East Aurora, N.Y.",USA,42.758852,-78.594698,0.6,street_center,,"Aurora Expy",,,"East Aurora",NY,"Erie County",14052,US,"TIGER/Line® dataset from the US Census Bureau"
"Raleigh, N.C.",USA,35.797903,-78.611164,0.9,street_center,,"S Raleigh Blvd",,,Raleigh,NC,"Wake County",27610,US,"TIGER/Line® dataset from the US Census Bureau"
"Charleston, S.C.",USA,33.013005,-80.183443,0.9,street_center,,"Charleston St",,,Summerville,SC,"Dorchester County",29483,US,"TIGER/Line® dataset from the US Census Bureau"
"Salisbury, N.C.",USA,35.624617,-80.481004,1,street_center,,"Salisbury Rd",,,Salisbury,NC,"Rowan County",28146,US,"TIGER/Line® dataset from the US Census Bureau"
"O'Fallon, Mo.",USA,38.801316,-90.752357,0.9,street_center,,"E Ofallan",,,O'fallon,MO,"St. Charles County",63366,US,"TIGER/Line® dataset from the US Census Bureau"
"Baldwinsville, N.Y.",USA,43.160196,-76.313356,1,street_center,,"Baldwinsville Byp",,,Baldwinsville,NY,"Onondaga County",13027,US,"TIGER/Line® dataset from the US Census Bureau"
"Macedon, N.Y.",USA,43.094094,-77.327986,0.9,street_center,,"Macedon Center Rd",,,Macedon,NY,"Wayne County",14502,US,"TIGER/Line® dataset from the US Census Bureau"
"DeWitt, Mich.",USA,40.183582,-88.785501,1,street_center,,"Dewitt St",,,Dewitt,IL,"De Witt County",61735,US,"TIGER/Line® dataset from the US Census Bureau"
"Maumee, OH",USA,41.615516,-83.709786,0.9,street_center,,"Maumee St",,,Holland,OH,"Lucas County",43528,US,"TIGER/Line® dataset from the US Census Bureau"
"Trumbull,CT",USA,41.259996,-73.206957,0.5,place,,,,,Trumbull,CT,"Greater Bridgeport Planning Region",06611,US,"TIGER/Line® dataset from the US Census Bureau"
"Nocatee,FL",USA,27.149245,-81.895327,1,place,,,,,Nocatee,FL,"Desoto County",34268,US,"TIGER/Line® dataset from the US Census Bureau"
"Pittsboro, NC",USA,35.796014,-79.545787,0.9,street_center,,"Pittsboro St",,,Staley,NC,"Randolph County",27355,US,"TIGER/Line® dataset from the US Census Bureau"
"Greenwood, IN",USA,39.63157,-86.108264,0.9,street_center,,"Greenwood Trl N",,,Greenwood,IN,"Johnson County",46142,US,"TIGER/Line® dataset from the US Census Bureau"
"Victor, N.Y.",USA,43.038257,-77.40007,1,street_center,,"Victor Rd",,,Victor,NY,"Monroe County",14564,US,"TIGER/Line® dataset from the US Census Bureau"
"Middletown, N.Y.",USA,41.620445,-74.561117,0.8,street_center,,"Middletown Pt Rd",,,"Rock Hill",NY,"Sullivan County",12775,US,"TIGER/Line® dataset from the US Census Bureau"
"Arlington, VA",USA,38.871494,-77.096277,1,street_center,,"Arlington Blvd",,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
"McKinney, Tex.",USA,33.195622,-96.618766,1,street_center,,"McKinney St",,,McKinney,TX,"Collin County",75069,US,"TIGER/Line® dataset from the US Census Bureau"
"Arvada, Colo.",USA,0,0,0,,,,,,,,,,,
"Summerfield, N.C.",USA,36.195617,-79.898286,1,street_center,,"Summerfield Rd",,,Summerfield,NC,"Guilford County",27358,US,"TIGER/Line® dataset from the US Census Bureau"
"Palm Desert, CA",USA,33.721873,-116.372441,1,street_center,,"Palm Desert Dr",,,"Palm Desert",CA,"Riverside County",92260,US,"TIGER/Line® dataset from the US Census Bureau"
