hometown,count
"Bridgeport, Wv",1
"Bridgetown, Barbados",1
"Bridgeville, Pa",1
"Bridgeville, Pa.",1
"Bridgewater, Mass.",1
"Bridgewater, N.j.",1
"Bridgewater, Nj",1
"Bridgman, Mi",1
"Brighton, Colo.",1
"Brighton, Mi./St. Catherine Of Siena Academy",1
"Brighton, Mich.",2
"Brisbane, Austrailia",1
"Bristol, Conn.",4
"Bristol, Ct",1
"Bristolville, Ohio",1
"Bristow, Va",1
Broadview Heights,1
"Broadview Heights, Ohio",1
"Brock, Texas",2
"Brodhead, Wis.",3
"Broken Arrow, Ok",1
"Broken Arrow, Okla.",5
"Bronx, N.y.",5
"Bronx, Ny",12
"Brookfield, Wis.",4
"Brookfield, Wisconsin",1
"Brookhaven, Pa.",1
"Brookline, Mass.",1
"Brookline, N.h.",2
"Brooklyn Park, Minn.",7
"Brooklyn, N.y.",6
"Brooklyn, Ny",9
"Brooks, Ga.",1
"Brookshire, Texas",1
"Brookston, In",1
"Brooksville, Maine",1
"Brookville, Ohio",1
"Brookville, Pa.",1
"Broomall, Pa",1
"Broomall, Pa.",3
"Broomfield, Colo.",3
"Broomfield, Colorado",1
"Brooten, Minn.",1
"Broussard, La",1
"Brownsboro, Texas",1
"Brownsburg, In",1
"Brownsburg, Ind.",5
"Brownstown, In",1
"Brownsville, Pa.",1
"Brownsville, Texas",2
"Brownsville, Tx",2
"Brownwood, Texas",1
"Brunswick, Ohio",5
"Brussels, Wis.",1
"Bryan, Texas",2
"Bryan, Tx",1
"Bryn Mawr, Pa.",1
"Bryn Mawr, Pennsylvania",1
"Bryson City, N.c.",1
"Brøndby, Denmark",1
"Buchanon, N.y.",1
"Bucharest, Romania",2
"Buckeye, Ariz.",2
"Buckeye, Az",1
"Buckhannon, W.va.",1
Bucyrus,2
"Bucyrus, Kan.",2
"Bucyrus, Ohio",1
"Buda, Texas",6
"Budd Lake, Nj",1
"Buena Park, Calif.",3
"Buffalo, Minn.",1
"Buffalo, N.y.",5
"Buffalo, Ny",4
"Buford, Ga.",4
Bulgaria,1
"Bulverde, Texas",1
"Burbank, Ca",1
"Burbank, Calif.",6
"Burbank, Ill.",2
"Burgettstown, Pa.",1
"Burke, Va.",5
"Burleson, Texas",1
"Burleson, Tx",3
"Burlingame, Calif.",1
"Burlington, Iowa",2
"Burlington, Ky",1
"Burlington, Mass.",2
"Burlington, Ontario",1
"Burlington, Ontario, Canada",3
"Burlington, Texas",1
"Burlington, Wis.",9
"Burns, Kan.",1
"Burns, Wyo.",1
"Burnsville, Minn.",2
"Burnt Hills, N.y.",3
"Burr Ridge, Ill.",2
"Bushkill, Pa",1
"Bushland, Texas",3
"Butler, Ind.",1
"Butler, Pa",1
"Butler, Pa.",2
"Byron Center, Mich.",1
"Byron, Minn.",4
"Cabot, Ar",1
"Cabot, Ark.",1
"Cabot, Arkansas",1
"Cadillac, Mich.",1
"Caguaas, Puerto Rico",1
"Caguas, P.r.",2
"Caguas, Pr",1
"Caguas, Puerto Rico",6
"Calabasas, Ca",2
"Calabasas, Calif.",2
"Calais, Maine",1
"Calcutta, Ohio",1
"Caldwell, Idaho",1
"Caldwell, N.j.",2
"Caledonia, Mich.",2
"Caledonia, Minn.",3
"Calera, Ala.",1
"Calgary, Ab, Canada",1
"Calgary, Alberta, Canada",1
"Calgary, Canada",1
"Califon, N.j.",1
"Califon, Nj",1
"California, Md",1
"Calumet, Mich.",1
"Camarillo, Ca",1
"Camarillo, Calif.",1
"Camas, Wa",2
"Camas, Wash.",2
"Cambria, Wis.",1
"Cambridge Springs, Pa.",2
"Cambridge, Mass.",1
"Cambridge, Minn.",1
"Cambridge, Mn",1
"Cambridge, Ohio",1
"Cambridge, Ontario, Canada",1
"Camden, Del.",1
"Camden, Nj",1
Cameron Park,1
"Camp Hill, Pa",1
"Camp Hill, Pa.",1
"Camp Springs, Md.",1
"Campbell Hall, N.y.",1
"Campbell River, Canada",1
"Campbell, Ca",1
"Campbell, Calif.",2
"Campbell, Texas",1
"Campbellsport, Wis.",1
"Campbellsville, Ky",1
"Camuy, Puerto Rico",1
"Canal Fulton, Ohio",2
"Canal Winchester, Ohio",1
"Canandaigua, N.y.",2
"Canandaigua, Ny",2
"Canastota, N.y.",1
"Canastota, Ny",1
