team,ncaa_id,team_state,conference,division
Misericordia,16142,PA,MAC Freedom,III
Connecticut Col.,163,CT,NESCAC,III
Cornell College,166,IA,MWC,III
William Peace,17094,NC,USA South,III
Davis & Elkins,174,WV,MEC,II
Claremont-M-S,142,CA,SCIAC,III
Delaware Valley,179,PA,MAC Freedom,III
Alfred,18,NY,Empire 8,III
DePauw,177,IN,NCAC,III
Denver,183,CO,Summit League,I
Dickinson,185,PA,Centennial,III
Dist. Columbia,186,DC,ECC,II
Denison,182,OH,NCAC,III
Drew,190,NJ,Landmark,III
Salem (WV),19117,WV,DII Independent,II
Dubuque,192,IA,American Rivers,III
Earlham,195,IN,HCAC,III
East Carolina,196,NC,AAC,I
East Stroudsburg,197,PA,PSAC,II
Tex. A&M-Commerce,199,TX,Southland,I
DeSales,20,PA,MAC Freedom,III
Eastern Conn. St.,200,CT,Little East,III
MSOE,20220,WI,NACC,III
East. Mennonite,203,VA,ODAC,III
Mont. St. Billings,205,MT,Great Northwest,II
Eastern N.M.,206,NM,Lone Star,II
Eckerd,208,FL,Sunshine State,II
Edinboro,209,PA,PSAC,II
Alma,21,MI,Michigan Intercol. Ath. Assn.,III
Elizabethtown,211,PA,Landmark,III
Elmhurst,212,IL,CCIW,III
Elmira,213,NY,Empire 8,III
Chestnut Hill,21323,PA,CACC,II
Emerson,214,MA,NEWMAC,III
Emmanuel (MA),215,MA,Great Northeast,III
Emory & Henry,216,VA,SAC,II
Emory,217,GA,UAA,III
Eureka,218,IL,SLIAC,III
Piedmont,21830,GA,CCS,III
Stevenson,21852,MD,MAC Commonwealth,III
American International,22,MA,NE10,II
FDU-Florham,221,NJ,MAC Freedom,III
Ferris St.,224,MI,GLIAC,II
Ferrum,225,VA,ODAC,III
JWU (Providence),22626,RI,Great Northeast,III
Fitchburg St.,227,MA,MASCAC,III
Florida A&M,228,FL,SWAC,I
American,23,DC,Patriot,I
Florida Tech,230,FL,Sunshine State,II
FIU,231,FL,C-USA,I
Texas-Dallas,23121,TX,ASC,III
Felician,23157,NJ,CACC,II
Fla. Southern,233,FL,Sunshine State,II
Florida,235,FL,SEC,I
Medaille,23725,NY,Empire 8,III
Franklin & Marshall,239,PA,Centennial,III
Franklin Pierce,241,NH,NE10,II
Fredonia,242,NY,SUNYAC,III
Frostburg St.,243,MD,MEC,II
Lesley,24317,MA,NECC,III
Concordia (TX),24400,TX,ASC,III
Gannon,246,PA,PSAC,II
Nova Southeastern,24639,FL,Sunshine State,II
SUNY Geneseo,247,NY,SUNYAC,III
Angelo St.,25,TX,Lone Star,II
Penn St.-Altoona,25719,PA,AMCC,III
Gettysburg,258,PA,Centennial,III
Rowan,259,NJ,NJAC,III
Grambling,261,LA,SWAC,I
Becker,26107,MA,NECC,III
A&M-Corpus Christi,26172,TX,Southland,I
Grand Valley St.,262,MI,GLIAC,II
Grinnell,264,IA,MWC,III
Grove City,265,PA,PAC,III
Gust. Adolphus,266,MN,MIAC,III
Geneva,30084,PA,PAC,III
Hamline,268,MN,MIAC,III
Belmont Abbey,2683,NC,Conference Carolinas,II
Franklin,2694,IN,HCAC,III
IUPUI,2699,IN,Horizon,I
Kansas City,2707,MO,Summit League,I
Hardin-Simmons,271,TX,ASC,III
Oglethorpe,2713,GA,SAA,III
Colorado St.-Pueblo,2720,CO,RMAC,II
Hartwick,273,NY,Empire 8,III
Howard Payne,2741,TX,ASC,III
Lake Erie,2746,OH,G-MAC,II
Pacific (OR),2751,OR,NWC,III
Southwest Baptist,2755,MO,GLVC,II
Western Colo.,2759,CO,RMAC,II
Heidelberg,278,OH,OAC,III
Minn.-Crookston,27854,MN,NSIC,II
Farmingdale St.,27892,NY,Skyline,III
Albertus Magnus,2798,CT,Great Northeast,III
Hillsdale,280,MI,G-MAC,II
Hamilton,267,NY,NESCAC,III
St. Thomas (TX),2810,TX,SCAC,III
Washburn,2814,KS,Mid-America Intercollegiate,II
Hollins,284,VA,ODAC,III
Birmingham-Southern,28593,AL,SAA,III
Hiram,281,OH,NCAC,III
Transylvania,28749,KY,HCAC,III
Cal Poly Humboldt,291,CA,CCAA,II
Hunter,292,NY,CUNYAC,III
Idaho St.,294,ID,Big Sky,I
Hope,286,MI,Michigan Intercol. Ath. Assn.,III
Illinois Col.,297,IL,MWC,III
Adelphi,3,NY,NE10,II
Arkansas St.,30,AR,Sun Belt,I
Ill. Wesleyan,300,IL,CCIW,III
Trevecca Nazarene,30002,TN,G-MAC,II
Lee,30013,TN,Gulf South,II
Texas-Tyler,30028,TX,Lone Star,II
Northwestern-St. Paul,30031,MN,UMAC,III
Finlandia,30032,MI,C2C,III
Crown (MN),30035,MN,UMAC,III
Mount Aloysius,30036,PA,AMCC,III
Trine,30037,IN,Michigan Intercol. Ath. Assn.,III
Bethany Lutheran,30038,MN,UMAC,III
North Central (MN),30039,MN,UMAC,III
Mitchell,30042,CT,NECC,III
Palm Beach Atl.,30045,FL,Sunshine State,II
Keystone,30047,PA,CSAC,III
Ill. Springfield,30050,IL,GLVC,II
Newman,30054,KS,Mid-America Intercollegiate,II
Cal St. Monterey Bay,30055,CA,CCAA,II
Seton Hill,30063,PA,PSAC,II
Saint Vincent,30064,PA,PAC,III
NVU-Lyndon,30065,VT,North Atlantic,III
SUNY Morrisville,30067,NY,United East,III
Franciscan,30069,OH,PAC,III
William Smith,30073,NY,Liberty League,III
Penn St. Harrisburg,30081,PA,United East,III
Montclair St.,442,NJ,NJAC,III
Lancaster Bible,30085,PA,United East,III
Tex. Permian Basin,30088,TX,Lone Star,II
Flagler,30092,FL,Peach Belt,II
AUM,30093,AL,Gulf South,II
Utah Tech,30095,UT,WAC,I
Ark.-Fort Smith,30105,AR,Lone Star,II
Covenant,30111,GA,CCS,III
Moravian,443,PA,Landmark,III
Ohio Dominican,30119,OH,G-MAC,II
William Jewell,30120,MO,GLVC,II
Academy of Art,30123,CA,PacWest,II
Cedarville,30124,OH,G-MAC,II
Minot St.,30125,ND,NSIC,II
Notre Dame (OH),30126,OH,MEC,II
Simon Fraser,30127,NA,Great Northwest,II
Sioux Falls,30128,SD,NSIC,II
Black Hills St.,30134,SD,RMAC,II
Lindenwood (MO),30136,MO,OVC,I
McKendree,30138,IL,GLVC,II
South Dakota Mines,30139,SD,RMAC,II
Ursuline,30140,OH,G-MAC,II
Walsh,30141,OH,G-MAC,II
Fresno Pacific,30147,CA,PacWest,II
Point Loma,30149,CA,PacWest,II
Shorter,30151,GA,Gulf South,II
Southern Nazarene,30152,OK,GAC,II
Union (TN),30153,TN,Gulf South,II
Young Harris,30154,GA,Peach Belt,II
Houghton,30160,NY,Empire 8,III
Sarah Lawrence,30163,NY,Skyline,III
Southern Va.,30164,VA,USA South,III
SUNY Canton,30165,NY,North Atlantic,III
Berea,30171,KY,CCS,III
Iowa Wesleyan,30173,IA,NA,NAIA
Daemen,30174,NY,ECC,II
Lubbock Christian,30177,TX,Lone Star,II
Northwestern Okla.,30178,OK,GAC,II
UVa-Wise,30181,VA,SAC,II
Bryn Athyn,30188,PA,CSAC,III
Penn College,30190,PA,United East,III
Southern Wesleyan,30192,SC,Conference Carolinas,II
Belhaven,30197,MS,CCS,III
Cal St. San Marcos,30198,CA,CCAA,II
Concordia (CA),30199,CA,PacWest,II
Concordia Portland,30200,OR,NA,NA
Okla. Baptist,30202,OK,GAC,II
Westminster (UT),30209,UT,RMAC,II
Dean,30219,MA,Great Northeast,III
Biola,30220,CA,PacWest,II
Davenport,30221,MI,GLIAC,II
Purdue Northwest,30222,IN,GLIAC,II
SUNY Delhi,30225,NY,North Atlantic,III
Indiana (PA),307,PA,PSAC,II
UIndy,309,IN,GLVC,II
Ithaca,313,NY,Liberty League,III
Jackson St.,314,MS,SWAC,I
Jacksonville St.,315,AL,ASUN,I
James Madison,317,VA,Sun Belt,I
John Carroll,320,OH,OAC,III
John Jay,321,NY,CUNYAC,III
Johns Hopkins,322,MD,Centennial,III
Johnson C. Smith,323,NC,CIAA,II
Juniata,325,PA,Landmark,III
Kalamazoo,326,MI,Michigan Intercol. Ath. Assn.,III
Keene St.,330,NH,Little East,III
Kentucky St.,332,KY,SIAC,II
Ky. Wesleyan,333,KY,G-MAC,II
Kenyon,335,OH,NCAC,III
King's (PA),336,PA,MAC Freedom,III
Knox,337,IL,MWC,III
Kutztown,339,PA,PSAC,II
La Verne,341,CA,SCIAC,III
Lake Forest,344,IL,MWC,III
Lake Superior St.,345,MI,GLIAC,II
Lawrence,348,WI,MWC,III
Le Moyne,349,NY,NE10,II
Ashland,35,OH,G-MAC,II
Lebanon Valley,351,PA,MAC Commonwealth,III
Lewis,354,IL,GLVC,II
West Alabama,358,AL,Gulf South,II
Assumption,36,MA,NE10,II
Lock Haven,360,PA,PSAC,II
Loras,364,IA,American Rivers,III
LSU,365,LA,SEC,I
Louisiana Tech,366,LA,C-USA,I
Loyola Marymount,370,CA,WCC,I
Luther,372,IA,American Rivers,III
Lycoming,373,PA,MAC Freedom,III
Lynchburg,374,VA,ODAC,III
Macalester,376,MN,MIAC,III
MacMurray,377,IL,NA,NA
Me.-Farmington,379,ME,North Atlantic,III
Augsburg,38,MN,MIAC,III
Manhattanville,382,NY,Skyline,III
Minnesota St.,383,MN,NSIC,II
Marietta,385,OH,OAC,III
Mary Baldwin,389,VA,USA South,III
Augusta,39,GA,Peach Belt,II
Mary Washington,390,VA,C2C,III
Marymount (VA),394,VA,Atlantic East,III
Maryville (MO),395,MO,GLVC,II
Marywood,397,PA,Atlantic East,III
MIT,398,MA,NEWMAC,III
Augustana (IL),40,IL,CCIW,III
Mercy,407,NY,ECC,II
Mercyhurst,408,PA,PSAC,II
Meredith,409,NC,USA South,III
Augustana (SD),41,SD,NSIC,II
Messiah,411,PA,MAC Commonwealth,III
MSU Denver,413,MN,RMAC,II
Michigan Tech,417,MI,GLIAC,II
Aurora,42,IL,NACC,III
Middlebury,420,VT,NESCAC,III
Miles,422,AL,SIAC,II
Millersville,423,PA,PSAC,II
Millikin,424,IL,CCIW,III
Millsaps,426,MS,SAA,III
Minn. Duluth,427,MN,NSIC,II
Mississippi College,429,MS,Gulf South,II
Mississippi Valley State,432,MS,SWAC,I
Missouri S&T,435,MO,GLVC,II
Missouri-St. Louis,436,MO,GLVC,II
Monmouth (IL),438,IL,MWC,III
Averett,44,VA,ODAC,III
Pitt.-Bradford,1315,PA,AMCC,III
Penn St.-Abington,30114,PA,United East,III
Morgan St.,446,MD,MEAC,I
Mount Holyoke,449,MA,NEWMAC,III
Babson,45,MA,NEWMAC,III
CMSV,451,NY,Skyline,III
Mount Union,452,OH,OAC,III
Muhlenberg,453,PA,Centennial,III
Muskingum,455,OH,OAC,III
Baldwin Wallace,46,OH,OAC,III
UNCW,460,NC,CAA,I
Nazareth,461,NY,Empire 8,III
Neb. Wesleyan,462,NE,American Rivers,III
UNLV,465,NV,Mountain West,I
New England Col.,467,NH,NECC,III
