team,twitter,url,ncaa_id,stats_name,private,roster
Tulane,greenwavewbb,https://tulanegreenwave.com/sports/womens-volleyball,718,Tulane,,
Canisius,griffswbb,https://gogriffs.com/sports/womens-volleyball,116,Canisius,,
Georgia Southern,gsathletics_wbb,https://gseagles.com/sports/womens-volleyball,253,Ga. Southern,,
Georgia State,gsu_wbb,https://georgiastatesports.com/sports/womens-volleyball,254,Georgia State,,
Georgia Tech,gtwbb,https://ramblinwreck.com/sports/w-volley/,255,Georgia Tech,,
Hartford,hartfordwbb,https://hartfordhawks.com/sports/womens-volleyball,272,Hartford,,
Harvard,harvardwbb,https://gocrimson.com/sports/womens-volleyball,275,Harvard,,
Hawaii,hawaiiwbb,https://hawaiiathletics.com/sports/womens-volleyball,277,Hawaii,,
Houston Christian,HCUWBB,https://hcuhuskies.com/sports/womens-volleyball,287,,,
Holy Cross,hcrosswbb,https://goholycross.com/sports/womens-volleyball,285,Holy Cross,,
Marshall,herdwbb,https://herdzone.com/sports/womens-volleyball,388,Marshall,,
Hofstra,hofstrawbb,https://gohofstra.com/sports/womens-volleyball,283,Hofstra,,
Howard,Howard_WBB,https://hubison.com/sports/womens-volleyball,290,Howard,,
High Point,hpuwbb,https://highpointpanthers.com/sports/womens-volleyball,19651,High Point,,
Indiana State,indstwbb,https://gosycamores.com/sports/womens-volleyball,305,Indiana St.,,
Southern,jaguarswbb,https://gojagsports.com/sports/womens-volleyball,665,Southern U.,,
Jacksonville,jax_wbb,https://judolphins.com/sports/womens-volleyball,316,Jacksonville,,
Kent State,kentstwbb,https://kentstatesports.com/sports/womens-volleyball,331,Kent St.,,
Kennesaw State,ksuowlswbb,https://ksuowls.com/sports/womens-volleyball,1157,Kennesaw St.,,
Kansas,kuwvball,https://kuathletics.com/sports/wvball/,328,Kansas,,
Texas Tech,ladyraiderwbb,https://texastech.com/sports/womens-volleyball,700,Texas Tech,,
Lafayette,lafayettewbb,https://goleopards.com/sports/womens-volleyball,342,Lafayette,,
Lamar,lamarwbb,https://lamarcardinals.com/sports/womens-volleyball,346,Lamar University,,
Lehigh,lehighwbb,https://lehighsports.com/sports/womens-volleyball,352,Lehigh,,
Liberty,libertywbb,https://libertyflames.com/sports/womens-volleyball,355,Liberty,,
Southeastern Louisiana,lionupwbb,https://lionsports.net/sports/womens-volleyball,655,Southeastern La.,,
Lipscomb,lipscombwbb,https://lipscombsports.com/sports/womens-volleyball,28600,Lipscomb,,
Arkansas-Little Rock,littlerockwbb,https://lrtrojans.com/sports/womens-volleyball,32,Little Rock,,
Long Island,liuwbb,https://www.liuathletics.com/sports/womens-volleyball,361,Liu,,
Loyola-Maryland,loyolawbb,https://loyolagreyhounds.com/sports/womens-volleyball,369,Loyola Maryland,,
Marist,maristwbb,https://goredfoxes.com/sports/womens-volleyball,386,Marist,,
George Mason,masonwbb,https://gomason.com/sports/womens-volleyball,248,George Mason,,
Purdue-Fort Wayne,mastodonwbb,https://gomastodons.com/sports/womens-volleyball,308,Purdue Fort Wayne,,
McNeese State,mcneesewbb,https://mcneesesports.com/sports/womens-volleyball,402,McNeese,,
North Texas,meangreenwbb,https://meangreensports.com/sports/womens-volleyball,497,,,
Merrimack,merrimackwbb,https://merrimackathletics.com/sports/womens-volleyball,410,Merrimack,,
Miami Ohio,miamioh_wbb,https://miamiredhawks.com/sports/womens-volleyball,414,Miami (OH),,
Milwaukee,mke_wbb,https://mkepanthers.com/sports/womens-volleyball,797,Milwaukee,,
Montana,montanagrizwbb,https://gogriz.com/sports/womens-volleyball,441,Montana,,
Mount St. Joseph,msjwbb,https://msjlions.com/sports/womens-volleyball,8567,,true,
Michigan State,msu_wbasketball,https://msuspartans.com/sports/womens-volleyball,416,Michigan St.,,
Montana State,msubobcatswbb,https://msubobcats.com/sports/womens-volleyball,440,Montana St.,,
Morehead State,msueagleswbb,https://msueagles.com/sports/womens-volleyball,444,Morehead St.,,
Navy,navywbb,https://navysports.com/sports/womens-volleyball,726,Navy,,
North Carolina Central,nccuwbb,https://nccueaglepride.com/sports/womens-volleyball,489,N.C. Central,,
North Dakota State,ndsuwbb,https://gobison.com/sports/womens-volleyball,493,North Dakota St.,,
Niagara,niagarawbb,https://purpleeagles.com/sports/womens-volleyball,482,Niagara,,
Nicholls State,nicholls_wbb,https://geauxcolonels.com/sports/womens-volleyball,483,Nicholls St.,,
New Jersey Institute of Technology,njitwbb,https://www.njithighlanders.com/sports/womens-volleyball,471,Njit,,
Northern Kentucky,nkunorsewbb,https://nkunorse.com/sports/womens-volleyball,505,Northern Ky.,,
New Mexico State,nmstatewbb,https://nmstatesports.com/sports/womens-volleyball,472,New Mexico St.,,
Norfolk State,norfolkstatewbb,https://nsuspartans.com/sports/womens-volleyball,485,Norfolk State,,
Northwestern State,nsudemonswbb,https://nsudemons.com/sports/womens-volleyball,508,Northwestern St.,,
Northwestern,nuwvball,https://nusports.com/sports/womens-volleyball,509,Northwestern,,
Old Dominion,ODU_WBB,https://odusports.com/sports/womens-volleyball,523,Old Dominion,,
Ohio State,ohiostatewbb,https://ohiostatebuckeyes.com/sports/womens-volleyball,518,Ohio St.,,
Mississippi,olemisswbb,https://olemisssports.com/sports/womens-volleyball,433,Ole Miss,,
Omaha,omahawbb,https://omavs.com/sports/womens-volleyball,464,Omaha,,
Oral Roberts,oruwbb,https://oruathletics.com/sports/womens-volleyball,527,Oral Roberts,,
North Florida,ospreywbb,https://unfospreys.com/sports/womens-volleyball,2711,North Florida,,
Oklahoma,ou_wvball,https://soonersports.com/sports/volleyball,522,Oklahoma,,
Penn State,pennstatewbb,https://gopsusports.com/sports/womens-volleyball,539,Penn St.,,
Portland,portlandwbb,https://portlandpilots.com/sports/womens-volleyball,551,Portland,,
New Orleans,privateerswbb,https://unoprivateers.com/sports/womens-volleyball,474,New Orleans,false,
Portland State,psuvikswbb,https://goviks.com/sports/womens-volleyball,550,Portland St.,,
Quinnipiac,qu_wbb,https://gobobcats.com/sports/womens-volleyball,562,Quinnipiac,,
Murray State,racerswbb,https://goracers.com/sports/womens-volleyball,454,Murray St.,,
Radford,radford_wbb,https://radfordathletics.com/sports/womens-volleyball,563,Radford,,
Louisiana,ragincajunswbb,https://ragincajuns.com/sports/womens-volleyball,671,Louisiana,,
Loyola-Chicago,ramblerswbb,https://loyolaramblers.com/sports/womens-volleyball,371,Loyola Chicago,,
Illinois State,redbirdwbb,https://goredbirds.com/sports/womens-volleyball,299,Illinois St.,,
Rhode Island,rhodywbb,https://gorhody.com/sports/womens-volleyball,572,Rhode Island,,
Rice,ricewbb,https://riceowls.com/sports/womens-volleyball,574,Rice,,
Rider,riderwbb,https://gobroncs.com/sports/womens-volleyball,576,Rider,,
UMass Lowell,riverhawkwbb,https://goriverhawks.com/sports/womens-volleyball,368,UMass Lowell,,
Sacred Heart,sacredheartwbb,https://sacredheartpioneers.com/sports/womens-volleyball,590,Sacred Heart,,
Sacramento State,sacstatewbb,https://hornetsports.com/sports/womens-volleyball,102,Sacramento St.,,
Saint Louis,saintlouiswbb,https://slubillikens.com/sports/womens-volleyball,609,Saint Louis,,
Samford,samfordwbb,https://samfordsports.com/sports/womens-volleyball,625,Samford,,
San Jose State,sanjosestatewbb,https://sjsuspartans.com/sports/womens-volleyball,630,San Jose St.,,
Santa Clara,santaclarawbb,https://santaclarabroncos.com/sports/womens-volleyball,631,Santa Clara,,
South Dakota,sdcoyoteswbb,https://goyotes.com/sports/womens-volleyball,650,South Dakota,,
Stephen F. Austin,SFAWBB,https://sfajacks.com/sports/womens-volleyball,676,Sfa,,
St. Francis College Brooklyn,sfbk_wbb,https://sfcathletics.com/sports/womens-volleyball,599,St. Francis Brooklyn,,
Saint Francis (PA),sfuwbb,https://sfuathletics.com/sports/womens-volleyball,600,Saint Francis (PA),,
Southern Methodist,smuwbb,https://smumustangs.com/sports/womens-volleyball,663,Smu,,
Southern Miss,southernmisswbb,https://southernmiss.com/sports/womens-volleyball,664,Southern Miss.,,
Fairfield,stagswvball,https://fairfieldstags.com/sports/womens-volleyball,220,Fairfield,,
Stanford,StanfordWBB,https://gostanford.com/sports/womens-volleyball,674,Stanford,,
Stetson,stetsonwbb,https://gohatters.com/sports/womens-volleyball,678,Stetson,,
Stony Brook,stonybrookwbb,https://stonybrookathletics.com/sports/womens-volleyball,683,Stony Brook,,
Seattle,seattleu_wbb,https://goseattleu.com/sports/womens-volleyball,1356,Seattle U,false,
Texas Christian,tcuwbasketball,https://gofrogs.com/sports/womens-volleyball,698,Tcu,,
Towson,towson_wbb,https://towsontigers.com/sports/womens-volleyball,711,Towson,,
Tennessee Tech,ttuwbb,https://www.ttusports.com/sports/wvball/index,692,Tennessee Tech,,
Texas State,txstatewbb,https://txstatebobcats.com/sports/womens-volleyball,670,Texas St.,,
UAB,UAB_wvball,https://uabsports.com/sports/womens-volleyball,9,Uab,,
Arkansas-Pine Bluff,uapbwbb,https://uapblionsroar.com/sports/womens-volleyball,2678,Arkansas-Pine Bluff,,
Central Arkansas,ucawbb,https://ucasports.com/sports/womens-volleyball,1004,Central Ark.,,
UC Davis,ucdaviswbb,https://ucdavisaggies.com/sports/womens-volleyball,108,UC Davis,,
UC Irvine,uciwbb,https://ucirvinesports.com/sports/womens-volleyball,109,UC Irvine,,
UC Riverside,ucr_wbb,https://gohighlanders.com/sports/womens-volleyball,111,UC Riverside,false,
UC Santa Barbara,ucsb_wbb,https://ucsbgauchos.com/sports/womens-volleyball,104,UC Santa Barbara,,
Evansville,ueathletics_wbb,https://gopurpleaces.com/sports/womens-volleyball,219,Evansville,,
Georgia,uga_wbb,https://georgiadogs.com/sports/womens-volleyball,257,Georgia,,
Houston,uhcougarwbb,https://uhcougars.com/sports/womens-volleyball,288,Houston,,
Illinois-Chicago,UIC_WBB,https://uicflames.com/sports/womens-volleyball,302,Uic,,
Incarnate Word,uiwwbb,https://uiwcardinals.com/sports/womens-volleyball,2743,Incarnate Word,,
Louisiana Monroe,ulm_wbb,https://ulmwarhawks.com/sports/womens-volleyball,498,La.-Monroe,,
UMBC,umbcwbb,https://umbcretrievers.com/sports/womens-volleyball,391,Umbc,,
Maryland,TerpsWBB,https://umterps.com/sports/womens-volleyball,392,Maryland,,
Northern Colorado,unc_bearswbb,https://uncbears.com/sports/womens-volleyball,502,Northern Colo.,,
UNC Asheville,uncavlwbb,https://uncabulldogs.com/sports/womens-volleyball,456,UNC Asheville,,
UNC Greensboro,uncgwbb,https://uncgspartans.com/sports/womens-volleyball,459,UNC Greensboro,,
North Carolina,uncwbb,https://goheels.com/sports/womens-volleyball,457,North Carolina,,
New Hampshire,unhwbb,https://unhwildcats.com/sports/womens-volleyball,469,New Hampshire,,
Northern Iowa,uniwbb,https://unipanthers.com/sports/womens-volleyball,504,Uni,,
New Mexico,unmlobowbb,https://golobos.com/sports/wvball/,473,New Mexico,,
Southern Cal,uscwbb,https://usctrojans.com/sports/womens-volleyball,657,Southern California,,
San Diego,usdwbb,https://usdtoreros.com/sports/womens-volleyball,627,San Diego,,
Texas-El Paso,utepwbb,https://utepminers.com/sports/womens-volleyball,704,Utep,,
UT Martin,utmartinwbb,https://utmsports.com/sports/womens-volleyball,695,UT Martin,,
UT-Rio Grande Valley,utrgvwbb,https://goutrgv.com/sports/womens-volleyball,536,Utrgv,,
UT-San Antonio,utsawbb,https://goutsa.com/sports/volleyball,706,Utsa,,
Utah Valley,uvuwbb,https://gouvu.com/sports/womens-volleyball,30024,Utah Valley,,
Washington,uw_wbb,https://gohuskies.com/sports/womens-volleyball,756,Washington,,
Valparaiso,valpowbb,https://www.valpoathletics.com/volleyball,735,Valparaiso,,
Vanderbilt,vandywbb,https://vucommodores.com/sports/wvolley,736,Vanderbilt,,
Weber State,weberstatewbb,https://weberstatesports.com/sports/womens-volleyball,758,Weber St.,,
Winthrop,winthropwbb,https://winthropeagles.com/sports/womens-volleyball,792,Winthrop,,
William & Mary,wmtribewbb,https://tribeathletics.com/sports/womens-volleyball,786,William & Mary,,
Western Michigan,wmu_wbb,https://wmubroncos.com/sports/womens-volleyball,774,Western Mich.,,
Wofford,wofford_wbb,https://woffordterriers.com/sports/womens-volleyball,2915,Wofford,,
West Virginia,WVUWBB,https://wvusports.com/sports/womens-volleyball,768,West Virginia,,
Gonzaga,zagwbb,https://gozags.com/sports/womens-volleyball,260,Gonzaga,,
Akron,zipswbb,https://gozips.com/sports/womens-volleyball,5,Akron,,
Cal State LA,CalStateLAWBB1,https://lagoldeneagles.com/sports/womens-volleyball,100,Cal State LA,,
Carson-Newman,CNwbasketball,https://www.cneagles.com/sports/w-volley/index,1000,Carson-Newman,,
Catawba,catawba_wbb,https://www.catawbaathletics.com/sports/wvball/index,1001,Catawba,,
Central Okla.,UCOWBB,https://bronchosports.com/sports/womens-volleyball,1009,Central Okla.,,
CSUN,CSUNWBB,https://gomatadors.com/sports/womens-volleyball,101,Csun,,
